v1,v2,v3
-0.888,0.304,0.356
-0.876,0.292,0.36
-0.876,0.296,0.364
-0.872,0.3,0.368
-0.88,0.292,0.368
-0.876,0.288,0.364
-0.884,0.284,0.368
-0.876,0.288,0.356
-0.876,0.292,0.368
-0.876,0.284,0.364
-0.88,0.288,0.352
-0.88,0.296,0.356
-0.88,0.292,0.344
-0.872,0.3,0.348
-0.872,0.292,0.348
-0.872,0.284,0.344
-0.868,0.284,0.344
-0.872,0.284,0.348
-0.884,0.28,0.352
-0.872,0.28,0.348
-0.88,0.276,0.348
-0.884,0.284,0.348
-0.88,0.28,0.34
-0.884,0.28,0.348
-0.884,0.272,0.348
-0.896,0.272,0.364
-0.892,0.28,0.356
-0.888,0.288,0.356
-0.876,0.28,0.364
-0.884,0.272,0.356
-0.888,0.288,0.348
-0.872,0.276,0.352
-0.876,0.28,0.352
-0.88,0.276,0.352
-0.892,0.272,0.352
-0.892,0.276,0.344
-0.896,0.288,0.34
-0.892,0.296,0.348
-0.888,0.292,0.348
-0.884,0.276,0.34
-0.884,0.28,0.348
-0.88,0.28,0.344
-0.872,0.272,0.336
-0.88,0.272,0.344
-0.9,0.292,0.352
-0.896,0.288,0.348
-0.896,0.292,0.34
-0.896,0.3,0.348
-0.892,0.292,0.344
-0.892,0.312,0.352
-0.88,0.28,0.356
-0.872,0.276,0.356
-0.88,0.284,0.356
-0.88,0.288,0.364
-0.892,0.284,0.36
-0.884,0.28,0.356
-0.888,0.296,0.348
-0.892,0.296,0.352
-0.884,0.292,0.344
-0.884,0.284,0.348
-0.876,0.292,0.344
-0.88,0.284,0.34
-0.88,0.28,0.34
-0.88,0.28,0.336
-0.88,0.28,0.344
-0.884,0.288,0.336
-0.872,0.284,0.332
-0.884,0.276,0.336
-0.884,0.272,0.328
-0.888,0.292,0.328
-0.888,0.292,0.336
-0.876,0.284,0.332
-0.876,0.276,0.34
-0.884,0.284,0.34
-0.888,0.272,0.348
-0.888,0.272,0.356
-0.884,0.28,0.344
-0.884,0.284,0.352
-0.876,0.288,0.36
-0.876,0.28,0.356
-0.884,0.28,0.356
-0.876,0.284,0.364
-0.884,0.28,0.356
-0.884,0.264,0.364
-0.892,0.268,0.364
-0.892,0.26,0.38
-0.896,0.244,0.392
-0.888,0.244,0.392
-0.92,0.152,0.424
-0.896,0.16,0.396
-0.868,0.248,0.412
-1.028,0.408,0.4
-0.884,0.296,0.364
-0.84,0.372,0.348
-0.88,0.456,0.412
-0.82,0.404,0.368
-0.84,0.512,0.336
-0.848,0.6,0.22
-0.756,0.66,0.332
-0.756,0.66,0.288
-0.828,0.66,0.296
-0.8,0.524,0.276
-0.852,0.728,0.292
-0.772,0.556,0.24
-0.76,0.684,0.168
-0.78,0.68,0.152
-0.76,0.76,0.128
-0.732,0.636,0.108
-0.704,0.732,0.016
-0.7,0.788,-0.016
-0.704,0.872,-0.008
-0.664,0.88,-0.056
