v1,v2,v3,label
-0.928,0.172,0.304,1
-0.932,0.176,0.304,1
-0.92,0.16,0.3,1
-0.92,0.156,0.304,1
-0.92,0.168,0.3,1
-0.916,0.164,0.304,1
-0.924,0.164,0.304,1
-0.932,0.164,0.296,1
-0.928,0.156,0.296,1
-0.928,0.172,0.308,1
-0.928,0.176,0.304,1
-0.928,0.172,0.304,1
-0.92,0.172,0.3,1
-0.924,0.172,0.304,1
-0.928,0.176,0.304,1
-0.924,0.18,0.304,1
-0.92,0.176,0.304,1
-0.92,0.176,0.3,1
-0.92,0.18,0.304,1
-0.924,0.184,0.3,1
-0.916,0.18,0.308,1
-0.916,0.176,0.308,1
-0.924,0.172,0.312,1
-0.928,0.176,0.316,1
-0.932,0.168,0.308,1
-0.928,0.176,0.304,1
-0.936,0.168,0.312,1
-0.924,0.168,0.312,1
-0.928,0.168,0.304,1
-0.924,0.168,0.304,1
-0.92,0.168,0.308,1
-0.924,0.168,0.308,1
-0.928,0.164,0.308,1
-0.92,0.156,0.308,1
-0.928,0.168,0.308,1
-0.92,0.168,0.304,1
-0.924,0.172,0.316,1
-0.92,0.18,0.308,1
-0.924,0.168,0.304,1
-0.928,0.172,0.304,1
-0.916,0.172,0.304,1
-0.916,0.168,0.308,1
-0.916,0.172,0.304,1
-0.924,0.172,0.304,1
-0.924,0.176,0.304,1
-0.928,0.176,0.296,1
-0.92,0.164,0.308,1
-0.916,0.164,0.296,1
-0.92,0.172,0.296,1
-0.924,0.172,0.3,1
-0.932,0.168,0.296,1
-0.92,0.164,0.304,1
-0.924,0.164,0.312,1
-0.928,0.176,0.308,1
-0.924,0.168,0.308,1
-0.924,0.168,0.312,1
-0.924,0.168,0.304,1
-0.924,0.164,0.304,1
-0.928,0.164,0.308,1
-0.924,0.164,0.304,1
-0.92,0.164,0.3,1
-0.928,0.176,0.3,1
-0.924,0.172,0.304,1
-0.92,0.172,0.304,1
-0.924,0.172,0.304,1
-0.924,0.16,0.3,1
-0.928,0.168,0.3,1
-0.928,0.172,0.312,1
-0.92,0.164,0.3,1
-0.924,0.156,0.296,1
-0.928,0.172,0.312,1
-0.924,0.164,0.3,1
-0.916,0.168,0.3,1
-0.924,0.164,0.304,1
-0.924,0.16,0.312,1
-0.916,0.172,0.304,1
-0.92,0.168,0.296,1
-0.92,0.168,0.296,1
-0.92,0.164,0.312,1
-0.924,0.164,0.308,1
-0.928,0.176,0.312,1
-0.924,0.172,0.308,1
-0.924,0.176,0.304,1
-0.924,0.168,0.312,1
-0.928,0.168,0.304,1
-0.92,0.164,0.304,1
-0.928,0.168,0.312,1
-0.936,0.164,0.312,1
